id,name,prefecture,areaCodes,holeCount,parOut,parIn,parTotal,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18
C000920,太平洋クラブ札幌コース,,1,,,,,,,,,,,,,,,,,,,,,,
C001000,ちとせインターゴルフクラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000881,御前水ゴルフ倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000922,滝のカントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000886,札幌エルムカントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000926,千歳空港カントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000851,大沼レイクゴルフクラブ【アコーディア・ゴルフ】,,1,,,,,,,,,,,,,,,,,,,,,,
C000976,北海道ポロトゴルフクラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000868,エーヴランドゴルフクラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000936,北海道ドリームカントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000889,札幌国際カントリークラブ　島松コース,,1,,,,,,,,,,,,,,,,,,,,,,
C000907,シャムロックカントリー倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000996,ロイヤルシップ札幌ゴルフ倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000929,札幌テイネゴルフ倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000928,ツキサップゴルフクラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000852,安平ゴルフ倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000971,マオイゴルフリゾート（閉鎖）,,1,,,,,,,,,,,,,,,,,,,,,,
C000848,恵庭カントリー倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000994,龍の舞ビッグスギゴルフ倶楽部(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000995,富良野ゴルフコース,,1,,,,,,,,,,,,,,,,,,,,,,
C000934,北海道ブルックスカントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000883,札樽ゴルフ倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000948,登別カントリー倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000944,ニセコビレッジゴルフコース,,1,,,,,,,,,,,,,,,,,,,,,,
C000967,新奈井江カントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000900,ザ・ノースカントリーゴルフクラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000862,桂ゴルフ倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000942,ニセコゴルフコース,,1,,,,,,,,,,,,,,,,,,,,,,
C000905,鹿部カントリー倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000963,北海道カントリークラブ　大沼コース,,1,,,,,,,,,,,,,,,,,,,,,,
C000923,伊達カントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000959,羊ケ丘カントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000888,ダイナスティゴルフクラブ北広島,,1,,,,,,,,,,,,,,,,,,,,,,
C000860,オリカゴルフ倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000864,上士幌ゴルフ場,,1,,,,,,,,,,,,,,,,,,,,,,
C000850,大沼国際カントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000890,札幌ゴルフ倶楽部　由仁コース,,1,,,,,,,,,,,,,,,,,,,,,,
C000965,北海道クラシックゴルフクラブ帯広　クラシックコース（北海道クラシックＧＣ　帯広Ｃ）,,1,,,,,,,,,,,,,,,,,,,,,,
C000993,滝川丸加高原カントリークラブ（閉鎖）,,1,,,,,,,,,,,,,,,,,,,,,,
C000969,北海道クラシックゴルフクラブ帯広　メイプルコース（北海道メイプルＧＣ）,,1,,,,,,,,,,,,,,,,,,,,,,
C000877,グレート旭川カントリー倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000949,北海道カントリークラブ プリンスコース（旧：函館大沼プリンスゴルフコース）,,1,,,,,,,,,,,,,,,,,,,,,,
C000943,ＨＡＮＡＺＯＮＯ　ＧＯＬＦ,,1,,,,,,,,,,,,,,,,,,,,,,
C000980,室蘭ゴルフ倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000952,函館シーサイドカントリークラブ(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000870,釧路空港ゴルフクラブ（閉鎖）,,1,,,,,,,,,,,,,,,,,,,,,,
C000844,函館ベイコーストカントリークラブ（旧：アンビックス函館倶楽部　上磯ゴルフコース）,,1,,,,,,,,,,,,,,,,,,,,,,
C000897,札幌芙蓉カントリー倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000908,定山渓カントリー倶楽部　駒丘コース（旧：札幌南ゴルフクラブ　駒丘コース）,,1,,,,,,,,,,,,,,,,,,,,,,
C005318,一達国際Ｐｒｉｖａｔｅ　Ｇｏｌｆ倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000901,サホロカントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000960,平取カントリー倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000951,函館ＫＧカントリークラブ(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000841,星野リゾート　トマムゴルフコース（旧：アルファリゾート・トマムＧＣ）(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000921,滝川市民ゴルフ場,,1,,,,,,,,,,,,,,,,,,,,,,
C000904,フォレスト旭川カントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000843,アーレックスゴルフ倶楽部(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000987,ルスツリゾートゴルフ７２　タワーコース,,1,,,,,,,,,,,,,,,,,,,,,,
C000916,空知川ラベンダーの森ゴルフコース,,1,,,,,,,,,,,,,,,,,,,,,,
C000964,北海道クラシックゴルフクラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000857,帯広白樺カントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C005365,小樽カントリー倶楽部　旧コース,,1,,,,,,,,,,,,,,,,,,,,,,
C000849,エムズゴルフクラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000997,ルスツリゾートゴルフ７２　いずみかわコース,,1,,,,,,,,,,,,,,,,,,,,,,
C000953,函館パークカントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000998,女満別ゴルフコース,,1,,,,,,,,,,,,,,,,,,,,,,
C000836,コート旭川カントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000892,札幌藤の沢すずらんゴルフ場,,1,,,,,,,,,,,,,,,,,,,,,,
C000911,砂川オアシスゴルフコース(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C001001,ウィンザー・グレートピーク・オブ・トーヤ,,1,,,,,,,,,,,,,,,,,,,,,,
C000837,旭川国際カントリークラブ　愛別コース,,1,,,,,,,,,,,,,,,,,,,,,,
C000985,ルスツリゾートゴルフ７２　リバーウッドコース,,1,,,,,,,,,,,,,,,,,,,,,,
C000835,阿寒カントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000917,空知カントリークラブ(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000871,釧路風林カントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000839,旭川メモリアルカントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000909,白金ゴルフ倶楽部(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000256,ルスツリゾートゴルフ７２　ウッドコース,,1,,,,,,,,,,,,,,,,,,,,,,
C000991,稚内カントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000894,札幌つきがたゴルフコース(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000840,新釧路ゴルフ倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000915,セント旭川ゴルフ倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000947,ノースバレーカントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000992,函館ゴルフ倶楽部　湯の川ゴルフ場,,1,,,,,,,,,,,,,,,,,,,,,,
C000861,温根湯国際カントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000884,札内川ゴルフ場,,1,,,,,,,,,,,,,,,,,,,,,,
C000932,北見ハーブヒルゴルフクラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000834,新茜ゴルフ倶楽部(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000919,大雪山カントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000930,弟子屈カントリークラブ　摩周湖コース,,1,,,,,,,,,,,,,,,,,,,,,,
C000869,釧路カントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000935,トーヤレイクヒルゴルフ倶楽部(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000974,増毛ゴルフ倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000855,帯広カントリークラブ　新嵐山コース,,1,,,,,,,,,,,,,,,,,,,,,,
C005245,ノーザンアークゴルフクラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000875,グリーンスコーレカントリー倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000941,ニセコゴルフ＆リゾート,,1,,,,,,,,,,,,,,,,,,,,,,
C000902,サロベツカントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000914,旭川たかすゴルフクラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000856,帯広国際カントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000906,士別同友会カントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000859,オホーツクカントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
