region,course_title,layout_title,course_code,layout_kind,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,ref_url
北海道,ゴルフ5C美唄C西,ゴルフ5カントリー美唄コース西,C000008,all,5,4,3,4,3,4,4,4,5,,,,,,,,,,
北海道,ゴルフ5C美唄C東,ゴルフ5カントリー美唄コース東,C000006,all,4,5,4,4,5,3,4,3,4,,,,,,,,,,
北海道,ｻﾞ･ﾉｰｽｶﾝﾄﾘｰGC,ザ・ノースカントリーゴルフクラブ,C000184,out+in,4,3,5,4,4,4,3,4,5,4,4,3,5,4,4,3,4,5,
北海道,札樽GC,札樽ゴルフ倶楽部,C000070,out+in,4,3,4,5,4,3,5,3,4,4,3,4,4,5,4,4,3,5,
北海道,札内川G,札内川ゴルフ場,C000085,out+in,5,4,4,3,4,4,3,4,5,5,4,4,5,3,4,4,3,4,
北海道,札幌GC由仁コース,札幌ゴルフ倶楽部由仁コース,C000183,out+in,4,4,5,3,4,5,3,4,4,4,4,5,3,4,5,4,3,4,
北海道,札幌GC輪厚,札幌ゴルフ倶楽部輪厚コース,C000080,out+in,4,4,3,4,5,4,4,3,5,4,3,5,4,4,4,3,5,4,
北海道,札幌エルムCC西,札幌エルムカントリークラブ西,C000072,out+in,4,5,3,4,5,4,3,4,4,5,4,3,4,4,3,5,4,4,
北海道,札幌エルムCC東,札幌エルムカントリークラブ東,C000071,out+in,5,4,3,4,4,5,4,3,4,4,4,4,3,4,5,4,3,5,
北海道,札幌北広島GC西,札幌北広島ゴルフ倶楽部西,C000178,out+in,4,4,3,5,4,5,3,4,4,5,4,4,4,3,4,5,3,4,
北海道,札幌北広島GC東,札幌北広島ゴルフ倶楽部東,C000177,out+in,4,4,4,3,5,3,4,4,5,4,3,4,4,3,5,4,4,5,
北海道,札幌北広島GC南,札幌北広島ゴルフ倶楽部南,C000179,out+in,4,4,5,3,4,4,4,5,3,5,3,4,4,4,3,4,5,4,
北海道,札幌国際CC島松A,札幌国際カントリークラブ島松コースA,C000077,all,4,4,5,4,3,4,4,3,5,,,,,,,,,,
北海道,札幌国際CC島松B,札幌国際カントリークラブ島松コースB,C000078,all,4,3,4,4,4,5,3,4,5,,,,,,,,,,
北海道,札幌国際CC島松C,札幌国際カントリークラブ島松コースC,C000079,all,4,5,3,4,4,3,4,5,4,,,,,,,,,,
北海道,札幌ｽｺｯﾄﾋﾙGCｱｾﾞﾘ,札幌スコットヒルゴルフ倶楽部アゼリア,C000181,all,5,4,4,3,4,4,3,4,5,,,,,,,,,,
北海道,札幌ｽｺｯﾄﾋﾙGCﾛｰｽﾞ,札幌スコットヒルゴルフ倶楽部ローズ,C000180,all,5,4,4,3,5,4,3,4,4,,,,,,,,,,
北海道,札幌すずらんG,札幌すずらんゴルフ場,C000082,out+in,4,4,5,4,3,4,4,3,5,5,4,3,4,4,4,3,4,5,
北海道,札幌ﾃｲﾈGCｳｸﾞｲｽ,札幌テイネゴルフ倶楽部うぐいす,C000108,all,4,5,4,3,5,4,3,4,4,,,,,,,,,,
北海道,札幌ﾃｲﾈGCｷﾂﾂｷ,札幌テイネゴルフ倶楽部きつつき,C000109,all,5,4,4,3,4,4,4,3,5,,,,,,,,,,
北海道,札幌ﾃｲﾈGCﾗｲﾁｮｳ,札幌テイネゴルフ倶楽部らいちょう,C000110,all,4,4,4,3,4,4,5,3,5,,,,,,,,,,
北海道,札幌芙蓉CC,札幌芙蓉カントリー倶楽部,C000216,out+in,4,5,3,4,4,5,4,3,4,5,4,4,3,5,4,4,3,4,
北海道,札幌ベイGC,札幌ベイゴルフ倶楽部,C000083,out+in,5,4,4,3,4,3,4,5,4,5,4,3,4,4,4,3,4,5,
北海道,札幌南GC駒丘C,札幌南ゴルフクラブ駒丘コース,C000084,out+in,4,5,3,4,5,4,3,4,4,4,3,4,4,5,4,3,4,5,
北海道,札幌ﾘｰｼﾞｪﾝﾄGC旧,札幌リージェントゴルフ倶楽部旧,C000066,out+in,5,4,3,4,4,4,3,4,5,4,4,5,3,4,4,5,3,4,
北海道,札幌ﾘｰｼﾞｪﾝﾄGC新,札幌リージェントゴルフ倶楽部新,C000065,out+in,5,4,3,4,5,4,4,3,4,5,4,4,3,4,5,4,3,4,
北海道,札幌ﾘｰｼﾞｪﾝﾄGCﾄﾑ,札幌リージェントゴルフ倶楽部トムソン,C000067,out+in,4,4,4,5,3,4,5,3,4,4,3,5,4,5,3,4,4,4,
北海道,サホロCC,サホロカントリークラブ,C000086,out+in,4,5,4,3,4,5,4,3,4,4,3,4,5,4,3,4,4,5,
北海道,サロベツCC,サロベツカントリークラブ,C000087,out+in,5,4,4,3,4,4,4,3,5,4,3,4,4,5,4,3,5,4,
北海道,ｻﾝﾊﾟｰｸ札幌GC西,サンパーク札幌ゴルフコース西,C000090,all,4,5,3,4,4,4,3,4,5,,,,,,,,,,
北海道,ｻﾝﾊﾟｰｸ札幌GC東,サンパーク札幌ゴルフコース東,C000088,all,5,4,3,4,4,5,3,4,4,,,,,,,,,,
北海道,ｻﾝﾊﾟｰｸ札幌GC南,サンパーク札幌ゴルフコース南,C000089,all,4,5,4,4,5,3,4,3,4,,,,,,,,,,
北海道,シェイクスピアCC,シェイクスピアカントリークラブ,C000091,out+in,4,4,3,4,5,4,3,4,5,4,5,3,4,4,5,3,4,4,
北海道,鹿部CC,鹿部カントリー倶楽部,C000093,out+in,4,5,3,4,3,4,4,4,5,4,5,4,3,4,5,4,3,4,
北海道,士別同友会CC,士別同友会カントリークラブ,C000094,out+in,4,3,5,4,3,4,4,5,4,5,4,4,3,5,4,4,3,4,
北海道,ｼｬﾄﾚｰｾﾞCC石狩中,シャトレーゼカントリークラブ石狩中,C000096,all,4,4,3,4,5,3,4,4,5,,,,,,,,,,
北海道,ｼｬﾄﾚｰｾﾞCC石狩西,シャトレーゼカントリークラブ石狩西,C000095,all,4,3,4,4,5,4,4,3,5,,,,,,,,,,
北海道,ｼｬﾄﾚｰｾﾞCC石狩東,シャトレーゼカントリークラブ石狩東,C000097,all,4,3,4,5,3,4,4,4,5,,,,,,,,,,
北海道,ｼｬﾄﾚｰｾﾞCC栗山北,シャトレーゼカントリークラブ栗山北,C000201,all,5,4,3,4,4,4,4,5,3,,,,,,,,,,
北海道,ｼｬﾄﾚｰｾﾞCC栗山西,シャトレーゼカントリークラブ栗山西,C000203,all,5,4,4,4,4,3,4,3,5,,,,,,,,,,
北海道,ｼｬﾄﾚｰｾﾞCC栗山東,シャトレーゼカントリークラブ栗山東,C000202,all,5,4,4,3,4,3,4,4,5,,,,,,,,,,
北海道,ｼｬﾄﾚｰｾﾞCCﾏｻﾘｶｯﾌﾟ,シャトレーゼカントリークラブマサリカップ,C000098,out+in,5,4,3,4,4,5,4,3,4,5,4,3,4,5,4,4,3,4,
北海道,ｼｬﾑﾛｯｸCCｼﾝﾁﾄｾｸｳｺ,シャムロックカントリー倶楽部新千歳空港コース,C000099,out+in,4,5,3,4,4,4,3,4,5,5,4,3,4,4,5,4,3,4,
北海道,新釧路GC,新釧路ゴルフ倶楽部,C000101,out+in,5,4,3,4,5,4,4,3,4,5,3,4,4,4,5,4,3,4,
北海道,新札幌台GC,新札幌台ゴルフ倶楽部,C000100,out+in,5,3,4,4,4,3,4,4,5,5,3,4,4,4,4,4,3,5,
北海道,新千歳CCハマナス,新千歳カントリークラブハマナスコース,C000161,out+in,4,5,4,3,4,5,4,3,4,4,3,4,4,5,3,4,5,4,
北海道,新千歳CCホロカ,新千歳カントリークラブホロカコース,C000162,out+in,4,5,3,4,4,5,4,3,4,4,5,4,4,3,4,5,3,4,
北海道,新奈井江CC,新奈井江カントリークラブ,C000102,out+in,5,4,4,3,4,4,5,3,4,4,5,3,4,5,4,3,4,4,
北海道,隨縁CC恵庭コース,隨縁カントリークラブ恵庭コース,C000104,out+in,5,4,3,4,4,4,3,4,5,4,4,5,4,3,4,4,3,5,
北海道,ｽｳｪｰﾃﾞﾝﾋﾙｽﾞGC中,スウェーデンヒルズゴルフ倶楽部中,C000060,all,4,5,3,4,4,4,3,4,5,,,,,,,,,,
北海道,ｽｳｪｰﾃﾞﾝﾋﾙｽﾞGC西,スウェーデンヒルズゴルフ倶楽部西,C000059,all,5,4,4,3,4,4,4,3,5,,,,,,,,,,
北海道,ｽｳｪｰﾃﾞﾝﾋﾙｽﾞGC東,スウェーデンヒルズゴルフ倶楽部東,C000061,all,4,5,3,5,4,4,4,3,4,,,,,,,,,,
