id,name,prefecture,areaCodes,holeCount,parOut,parIn,parTotal,parSource,parTeeName,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18
C000939,名寄白樺カントリー倶楽部,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000853,小樽ジサンゴルフ倶楽部(閉鎖),,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000244,登別温泉ゴルフクラブ(閉鎖),,1,9,,,72,,,,,,,,,,,,,,,,,,,,
C000937,アラン・チャールズゴルフアンドリゾート函館(閉鎖),,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000854,小樽カントリー倶楽部　新コース,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000867,レラゴルフクラブ(閉鎖),,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000955,羽幌オロロンカントリークラブ(閉鎖),,1,9,,,50,,,,,,,,,,,,,,,,,,,,
C000250,網走カントリークラブ,,1,9,,,50,,,,,,,,,,,,,,,,,,,,
C005205,アリスト本別ゴルフ倶楽部(閉鎖),,1,0,,,0,,,,,,,,,,,,,,,,,,,,
C000882,イアン・コリーナ・デ・ルナゴルフコース(閉鎖),,1,18,35,36,71,,,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000863,イアン滝川ゴルフ倶楽部(閉鎖),,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000999,ウィンザープリマドンナハイパーゴルフランチ(閉鎖),,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000241,恵庭ゴルフ場　恵南コース(閉鎖),,1,9,,,50,,,,,,,,,,,,,,,,,,,,
C000957,エムアール茨戸カントリークラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
